date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
26/06/2007,123.98,124,118.72,119.65,47374005,-0.345,-2.20%,15.3334,N/A,N/A
27/06/2007,120.61,122.04,119.26,121.89,34809744,0.287,1.87%,15.6205,N/A,N/A
28/06/2007,122.36,122.49,120,120.56,29865558,-0.17,-1.09%,15.4501,N/A,N/A
29/06/2007,121.97,124,121.09,122.04,40502614,0.19,1.23%,15.6397,N/A,N/A
02/07/2007,121.05,122.09,119.3,121.26,35521078,-0.1,-0.64%,15.5398,N/A,N/A
03/07/2007,122,127.4,121.5,127.17,41504299,0.757,4.87%,16.2971,N/A,N/A
05/07/2007,128.8,132.97,128.69,132.75,51694930,0.715,4.39%,17.0122,N/A,N/A
06/07/2007,133.13,133.34,130.4,132.3,31004006,-0.058,-0.34%,16.9546,N/A,N/A
09/07/2007,132.38,132.9,129.18,130.3301,35515958,-0.252,-1.49%,16.7021,N/A,N/A
10/07/2007,128.88,134.5,128.81,132.35,44767484,0.259,1.55%,16.961,N/A,N/A
11/07/2007,132.07,133.7,131.31,132.39,29302383,0.005,0.03%,16.9661,N/A,N/A
12/07/2007,133.85,134.24,132.39,134.0699,25150190,0.215,1.27%,17.1814,N/A,N/A
13/07/2007,135.03,137.85,134.52,137.73,32380018,0.469,2.73%,17.6504,N/A,N/A
16/07/2007,138.39,139.98,137.5,138.1,33411681,0.047,0.27%,17.6978,N/A,N/A
17/07/2007,138.3,139.6,137.5,138.9099,25301995,0.104,0.59%,17.8016,N/A,N/A
18/07/2007,138.19,138.44,136.04,138.12,27026394,-0.101,-0.57%,17.7004,N/A,N/A
19/07/2007,140.3,140.81,139.65,140,26124171,0.241,1.36%,17.9413,N/A,N/A
20/07/2007,141.65,144.18,140,143.75,41521874,0.481,2.68%,18.4219,N/A,N/A
23/07/2007,143.31,145.22,140.93,143.7,36935345,-0.006,-0.03%,18.4155,N/A,N/A
24/07/2007,138.88,141,134.15,134.8899,64054706,-1.129,-6.13%,17.2865,N/A,N/A
25/07/2007,137.35,138.36,135,137.26,51524109,0.304,1.76%,17.5902,N/A,N/A
26/07/2007,145.87,148.5,136.96,146,78074857,1.12,6.37%,18.7102,N/A,N/A
27/07/2007,146.19,148.92,143.78,143.85,41349695,-0.276,-1.47%,18.4347,N/A,N/A
30/07/2007,144.33,145.45,139.57,141.43,39529946,-0.31,-1.68%,18.1246,N/A,N/A
31/07/2007,142.97,143.48,131.52,131.76,62787471,-1.239,-6.84%,16.8854,N/A,N/A
01/08/2007,133.64,135.38,127.77,135,62449699,0.415,2.46%,17.3006,N/A,N/A
02/08/2007,136.65,136.96,134.15,136.49,30431400,0.191,1.10%,17.4915,N/A,N/A
03/08/2007,135.26,135.95,131.5,131.8499,24195384,-0.595,-3.40%,16.8969,N/A,N/A
06/08/2007,132.9,135.27,128.3,135.25,32991984,0.436,2.58%,17.3326,N/A,N/A
07/08/2007,134.94,137.24,132.63,135.0301,33888247,-0.028,-0.16%,17.3044,N/A,N/A
08/08/2007,136.76,136.86,132,134.01,28817621,-0.131,-0.76%,17.1737,N/A,N/A
09/08/2007,131.11,133,125.09,126.39,40070804,-0.977,-5.69%,16.1972,N/A,N/A
10/08/2007,123.12,127.75,120.3,125,50333126,-0.178,-1.10%,16.019,N/A,N/A
13/08/2007,128.33,129.35,126.5,127.79,26873099,0.358,2.23%,16.3766,N/A,N/A
14/08/2007,128.29,128.3,123.71,124.03,26286607,-0.482,-2.94%,15.8947,N/A,N/A
15/08/2007,122.74,124.86,119.65,119.9,35383990,-0.529,-3.33%,15.3655,N/A,N/A
16/08/2007,117.01,118.5,111.62,117.05,66474501,-0.365,-2.38%,15.0002,N/A,N/A
17/08/2007,122.01,123.5,119.82,122.06,42639745,0.642,4.28%,15.6423,N/A,N/A
20/08/2007,123.96,124.5,120.5,122.22,28678930,0.021,0.13%,15.6628,N/A,N/A
21/08/2007,122.21,128.96,121,127.57,46414644,0.686,4.38%,16.3484,N/A,N/A
22/08/2007,131.22,132.75,130.33,132.51,37461458,0.633,3.87%,16.9815,N/A,N/A
23/08/2007,133.09,133.34,129.76,131.07,30919515,-0.185,-1.09%,16.7969,N/A,N/A
24/08/2007,130.53,135.37,129.81,135.3,32508382,0.542,3.23%,17.339,N/A,N/A
27/08/2007,133.3907,134.66,132.1,132.25,25223662,-0.391,-2.25%,16.9482,N/A,N/A
28/08/2007,130.99,132.41,126.63,126.82,42028689,-0.696,-4.11%,16.2523,N/A,N/A
29/08/2007,129.88,134.18,129.54,134.08,41620984,0.93,5.72%,17.1827,N/A,N/A
30/08/2007,132.67,138.25,132.3,136.25,51209629,0.278,1.62%,17.4608,N/A,N/A
31/08/2007,139.49,139.65,137.41,138.48,31255037,0.286,1.64%,17.7465,N/A,N/A
04/09/2007,139.94,145.73,139.84,144.16,46820726,0.728,4.10%,18.4744,N/A,N/A
05/09/2007,144.97,145.84,136.1,136.76,82839700,-0.948,-5.13%,17.5261,N/A,N/A
06/09/2007,135.57,137.57,132.71,135.01,67804787,-0.224,-1.28%,17.3019,N/A,N/A
07/09/2007,132.01,132.3,130,131.77,51034833,-0.415,-2.40%,16.8866,N/A,N/A
10/09/2007,137,138.04,133.95,136.71,53056925,0.633,3.75%,17.5197,N/A,N/A
11/09/2007,137.9,138.3,133.75,135.49,34620030,-0.156,-0.89%,17.3634,N/A,N/A
12/09/2007,135.99,139.4,135.75,136.85,36438437,0.174,1.00%,17.5377,N/A,N/A
13/09/2007,138.83,139,136.65,137.2,23389862,0.045,0.26%,17.5825,N/A,N/A
14/09/2007,136.57,138.98,136.2,138.81,21654650,0.206,1.17%,17.7888,N/A,N/A
17/09/2007,138.99,140.59,137.6,138.41,28274035,-0.051,-0.29%,17.7376,N/A,N/A
